id_plano_acao,id_plano_trabalho,id_executor,CHAVE,situacao_plano_trabalho,classificacao_orcamentaria_pt,id_meta,sequencial_meta,nome_executor,objeto_executor,desc_meta,un_medida_meta,qt_uniade_meta,elemento_despesa_estimado,categoria_macro,CLASSIFICACAO DETALHAMENTO OBJETO,CLASSIFICACAO JUSTIFIFICATIVA
84471,35487,38230.0,84471-35487-38230,Enviado para Análise,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",839590.0,20.0,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,Rua Rio Mangabeira - Centro - Asfalto sobre pavimento existente,M2,2940.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84471,35487,38230.0,84471-35487-38230,Enviado para Análise,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",839580.0,10.0,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,Rua Arthur Marinho de Menezes e Travessas - Centro - Asfalto sobre pavimento existente,M2,28700.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84471,35487,38230.0,84471-35487-38230,Enviado para Análise,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",839600.0,30.0,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,Rua Jose Helio - Centro - Asfalto sobre pavimento existente,M2,2940.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84471,35487,38230.0,84471-35487-38230,Enviado para Análise,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",998210.0,40.0,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,Rua Justiniano Justino - Centro - Asfalto sobre pavimento existente,M2,2940.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84471,35487,38230.0,84471-35487-38230,Enviado para Análise,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",998220.0,50.0,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,Rua Leonidas de Paula - Centro - Asfalto sobre pavimento existente,M2,5120.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84471,35487,38230.0,84471-35487-38230,Enviado para Análise,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",998230.0,60.0,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,Rua Leonidas de Paula - Centro - Asfalto sobre pavimento existente,M2,30600.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84471,35487,38230.0,84471-35487-38230,Enviado para Análise,"Órgão: 02 - Prefeitura municipal
Unidade: 02.006 SECRETARIA MUNICIPAL DA INFRAESTRUTURA
Função: 15 - URBANISMO
Subfunção: 451 - INFRA-ESTRUTURA URBANA
Atividade: 2182 Pavimentação, Manutenção e Drenagem de Ruas e Avenidas com Paralelepípedos e Asfalto.
Natureza da despesa: 449051 OBRAS E INSTALAÇÕES
",998240.0,70.0,MUNICIPIO DE ARES,Pavimentação/Asfalto sobre pavimento existente e Paralelepípedos e Calçadas nas ruas: Rua Arthur Marinho de Menezes e Travessas; Rua Rio Mangabeira; Rua Jose Helio; Rua Justiniano Justino; Rua Leonidas de Paula; Rua Pedro Marinho de Menezes e Rua Ímola,Rua Ímola - Centro - Paralelepípedos e Calçadas,M2,22680.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
83885,36056,38782.0,83885-36056-38782,APROVADO,,846460.0,10.0,MUNICIPIO DE PRESIDENTE GETULIO,"Aquisição de uma retroescavadeira para a secretaria municipal de obras, destinada melhoria dos serviços urbanos no município de Presidente Getúlio.
RETROESCAVADEIRA NOVA. TIPO A. ZERO HORA. COM TRAÇÃO 4X4, CABINE FECHADA, AR-CONDICIONADO, CAÇAMBAS CARREGADEIRA DE 1,1M³ E ESCAVADEIRA DE 0,26M³, PROFUNDIDADE MÁXIMA DE ESCAVAÇÃO DE 4.540 MM, PESO OPERACIONAL DE 8.185 KG, TRANSMISSÃO DE 4 MARCHAS À FRENTE E 4 À RÉ.",Aquisição de uma retroescavadeira.,UN,10.0,52 - Equipamentos e Material Permanente,Equipamentos/material permanente,mediano,IDENTIFICADO
76896,36792,39518.0,76896-36792-39518,Enviado para Análise,"Órgão: 16  - Fundo Municipal de Educação
Unidade: 16.16 - Fundo Municipal de Educação
Função: 12 - Educação
Subfunção: 361 - Ensino Fundamental
Programa: 0007 - Gestão de Políticas Educacionais
Atividade: 1035 - Construção, Reforma e Ampliação de Unidades Escolares
Natureza da despesa: 44.90.51.00 - Obras e Instalações
Fonte de Recursos: 17060000 - Transferências Especiais da União",856690.0,10.0,MUNICIPIO DE SAO DOMINGOS DO CAPIM,REFORMA DA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL VEREADOR CANDIDO LOPES DE OLIVEIRA EM SÃO DOMINGOS DO CAPIM/PA,REFORMA DA ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL VEREADOR CANDIDO LOPES DE OLIVEIRA EM SÃO DOMINGOS DO CAPIM/PA,M2,112661700.0,51 - Obras e Instalações,Obra/instalação,detalhado,IDENTIFICADO
77998,38437,41187.0,77998-38437-41187,Em Complementação,"02 PODER EXECUTIVO
02 07 SECRETARIA DE EDUCACAO, CULTURA E DESPORTO
02 07 72 DEPARTAMENTO DE CULTURA E DESPORTO
13 Cultura
13 392 Difusão Cultural
13 392 0042 PROMOÇÃO E DIFUSÃO DA CULTURA LOCAL
13 392 0042 2042 0000 MANUT DAS ATIVIDADES CULTURAIS
",883370.0,10.0,MUNICIPIO DE CALCADO,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.,UN,10.0,NÃO FOI POSSÍVEL IDENTIFICAR,Não identificado,mediano,NÃO FOI POSSÍVEL IDENTIFICAR
76346,38032,40779.0,76346-38032-40779,Enviado para Análise,1001 - 10.301.0038.1.020 - Equipamentos de Unidade de Saúde,875780.0,10.0,MUNICIPIO DE VARZEA ALEGRE,Aquisição de Veículos tipo Motocicleta,Aquisição de Veículos tipo Motocicleta,UN,520.0,52 - Equipamentos e Material Permanente,Equipamentos/material permanente,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
79695,42509,45425.0,79695-42509-45425,Em Complementação,"UNIDADE: 02.06 SECRETARIA MUNICIPAL DE PRODUÇÃO E ABASTECIMENTO
PRO/ATIV:  2.022 MANUTENÇÃO DA SECRETÁRIA MUNICIPAL DE PRODUÇÃO E ABASTECIMENTO
ELEMENTO: 31 30.605.0011 
RUBRICA: 4.4. 90. 52. 00. 00.00. 00. 00.01. 0700.0000.00.00.00 EQUIPAMENTOS E MATERIAIS",957900.0,10.0,MUNICIPIO DE SAO GABRIEL DA CACHOEIRA,AQUISIÇÃO DE EQUIPAMENTOS PARA CASAS DE FARINHA PARA A COMUNIDADE INDÍGENA DOM BOSCO - PARI  CACHOEIRA,"AQUISIÇÃO DE EQUIPAMENTOS PARA CASAS DE FARINHA: FORNO, MOTOR, CATITU ( RALADOR) E PRENSA,  PARA A COMUNIDADE INDÍGENA DOM BOSCO -PARI CACHOEIRA NA ZONA RURAL",UN,10.0,52 - Equipamentos e Material Permanente,Equipamentos/material permanente,detalhado,IDENTIFICADO
83014,41168,44023.0,83014-41168-44023,APROVADO,"Ficha: 192
Órgão: 10 – Município de Campos Belos
Unidade: 05 – Secretaria de Infraestrutura, Transporte e Obras
Função: 26 - Transporte
Subfunção: 782 - Transporte
Programa: 023 – Serviços de Transportes
Projeto/Atividade: 1.061 – Construção de Pontes e Bueiros
Natureza da Despesa: 4.4.90.51 Obras e Instalações

",931150.0,10.0,MUNICIPIO DE CAMPOS BELOS,"CONSTRUÇÃO DE PONTE EM CONCRETO ARMADO NA AVENIDA REAL – ENTRE O SETOR BREJINHO E BOM RETIRO – ZONA URBANA DE CAMPOS BELOS-GO; DIMENSÕES DA PONTE: 6X11=66,00 M²","CONSTRUÇÃO DE PONTE EM CONCRETO ARMADO NA AVENIDA REAL – ENTRE O SETOR BREJINHO E BOM RETIRO – ZONA URBANA DE CAMPOS BELOS-GO; DIMENSÕES DA PONTE: 6X11=66,00 M²",M2,660.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84062,40107,42908.0,84062-40107-42908,APROVADO,"02.141 FUNDO MUNICIPAL DE SANEAMENTO BÁSICO E INFRAESTRUTURA URBANA
15 451 1012 1043 - PAVIMENTAÇÃO E DRENAGEM PLUVIAL
4490.5100 OBRAS E INSTALAÇÕES",912720.0,10.0,MUNICIPIO DE SANTA RITA,Pavimentação em paralelo em diversos bairros no Município de Santa Rita/PB (Extensão estimada em: 750 M²),Pavimentação em paralelo em diversos bairros no Município de Santa Rita/PB (Extensão estimada em: 750 M²),M2,7500.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
75582,36793,42432.0,75582-36793-42432,Enviado para Análise,"12 - Educação
361 - Ensino Fundamental 
0011 - Qualidade do Ensino Fundamental
12.361.0011.1054- Construção, Reforma e Ampliação de Escolas de Ensino Fundamental.
44.90.51 – Obras e Instalações 
",903860.0,10.0,FUNDO MUNICIPAL DE EDUCACAO DO MUNICIPIO DE FERREIRA GOMES,Revitalização de Escola Municipal.,Revitalização da Escola João Freire Cordeiro,UN,10.0,51 - Obras e Instalações,Obra/instalação,detalhado,IDENTIFICADO
80090,43125,46083.0,80090-43125-46083,Enviado para Análise,Órgão: 4 - Secretaria de Desenvolvimento; Unidade: 2 - Fundo Municipal da Agricultura; Função: 20 - Agricultura; Subfunção: 606 - Extensão Rural; Programa: 6-Valorização da Produção Rural; Ação: 2013 - Apoio ao Desenvolvimento Rural; Recurso: 0001 - Recurso livre.,972700.0,10.0,MUNICIPIO DE IVOTI,Aquisição de conjunto de máquinas e equipamentos agropecuários,Aquisição de conjunto de máquinas e equipamentos agropecuários,UN,10.0,52 - Equipamentos e Material Permanente,Equipamentos/material permanente,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84366,38045,40793.0,84366-38045-40793,APROVADO,451.15.539 - Pavimentação - Adequação de vias,875940.0,10.0,MUNICIPIO DE CENTENARIO,"Recapeamento Asfáltico da Avenida Norte Sul e Rua São Paulo na área urbana do Município de Centenário -TO,",Pavimentação: Adequação De Vias urbana no Município de Centenário -TO,M2,88000.0,51 - Obras e Instalações,Obra/instalação,detalhado,IDENTIFICADO
84385,39763,42545.0,84385-39763-42545,APROVADO,"15.451.0711.1022 Pavimentação Asfáltica e Bloquetes de Ruas e Avenidas 
 4490510000000000 139 OBRAS E INSTALACOES",906310.0,10.0,MUNICIPIO DE XAMBIOA,Implantação de  Pavimentação E Qualificação Viária de vias urbanas de Xambioá-TO.,Implantação de  Pavimentação E Qualificação Viária de vias urbanas de Xambioá-TO.,M,3500.0,51 - Obras e Instalações,Obra/instalação,detalhado,IDENTIFICADO
83922,34429,37249.0,83922-34429-37249,APROVADO,449051 - Obras e Instalações,827170.0,10.0,MUNICIPIO DE CERRO LARGO,"Pavimentação com pedras irregulares, extensão de 1.100m de comprimento por 6m de largura, totalizando 6.600m².","Pavimentação com pedras irregulares, extensão de 1.100m de comprimento por 6m de largura, totalizando 6.600m²",M2,66000.0,51 - Obras e Instalações,Obra/instalação,mediano,NÃO FOI POSSÍVEL IDENTIFICAR
76163,41269,44135.0,76163-41269-44135,Enviado para Análise,"Secretaria: 11 - SECRETARIA MUNICIPAL DE OBRAS, SANEAMENTO E URBANISMO
Unidade: 0019 - SECRETARIA MUNICIPAL DE OBRAS, SANEAMENTO E URBANISMO
15.451.0011.1013 CONSTRUÇÃO E AMPLIAÇÃO DA REDE DE ABASTECIMENTO DÁGUA DOMICILIAR
3.4.4.9.0.51.00.00.00.0000 1.500.0000 OBRAS E INSTALAÇÕES",932990.0,10.0,MUNICIPIO DE SAO JOSE DA TAPERA,EXECUÇÃO DE REDE DE DISTRIBUIÇÃO DE ÁGUA NO MUNICÍ´PIO DE SÃO JOSÉ DA TAPERA/AL.,EXECUÇÃO DE REDE DE DISTRIBUIÇÃO DE ÁGUA NO MUNICÍ´PIO DE SÃO JOSÉ DA TAPERA/AL.,M,94500.0,51 - Obras e Instalações,Obra/instalação,mediano,IDENTIFICADO
84018,40423,43268.0,84018-40423-43268,APROVADO,15.451.0013.1010.0000- Calçamento em Bloquete de Ruas e Avenidas,918460.0,10.0,MUNICIPIO DE SAO BENTO,Pavimentação em bloquete de vias urbanas no município de São Bento/MA.,Pavimentação em bloquete de vias urbanas no município de São Bento/MA.,M2,50000.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
83930,41517,44395.0,83930-41517-44395,APROVADO,"Órgão 9 - Secretaria Municipal de Obras e Viação 
Unidade 1 - Obras e Viação
Função 26 - Transporte 
Subfunção 782 – Transporte Rodoviário
Programa 102 – Melhor Viver
Projeto Atividade 1440 – Reubanização de vias urbanas
449051 - Obra e Instalações",937840.0,10.0,MUNICIPIO DE SANTIAGO,Pavimentação de vias urbanas no Município de Santiago/RS.,Pavimentação em paralelepípedos da Rua Arististes Camargo extensão 210m e Rua Perimetral extensão 70m.,M,2800.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84657,34654,37436.0,84657-34654-37436,APROVADO,4.4.90.00O OBRAS DE MELHORIA DA INFRAESTRUTURA RURAL,829370.0,10.0,MUNICIPIO DE CUNHATAI,PAVIMENTAÇÃO ASFÁLTICA NA ESTRADA GERAL COMUNIDADE SANTA CECILIA - Estrada Rural,PAVIMENTAÇÃO ASFÁLTICA NA ESTRADA GERAL COMUNIDADE SANTA CECILIA -  Estrada Rural,KM,10.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
77969,36818,39541.0,77969-36818-39541,Enviado para Análise,"Função: Energia
SubFunção: Energia Eléctrica
Programa: 0003 Promovendo o desenvolvimento Urbano e Rural
Ação Orçamentaria: 1008 Implantação, expansão, recuperação e ou/ manutenção da Iluminação pública
",857170.0,10.0,MUNICIPIO DE LAGARTO,"Manutenção, Recuperação e/ou Expansão da iluminação pública no município de Lagarto/SE.","Manutenção, Recuperação e/ou Expansão da iluminação pública no município de Lagarto/SE.",UN,10.0,51 - Obras e Instalações,Obra/instalação,mediano,IDENTIFICADO
76256,39547,45235.0,76256-39547-45235,Enviado para Análise,"ORGAO 03000 SECRETARIA MUNICIPAL DE SAUDE 
UO 03001 FUNDO MUNICIPAL DE SAUDE 
DOTAÇÃO 10.122.0007.2013 MANUTENÇÃO DA SECRETARIA MUNICIPAL DE SAUDE  
FONTE 1659.3110
",953600.0,10.0,FUNDO MUNICIPAL DE SAUDE,CUSTEIO DE COMBUSTÍVEL PARA FUNCIONAMENTO DA FROTA DE SECRETARIA DE SAÚDE,Custeio de combustivel para funcionamento da frota da secretaria de saúde,L,330000.0,30 - Material de Consumo,Material de consumo,mediano,IDENTIFICADO
83924,36649,39379.0,83924-36649-39379,APROVADO,"Órgão = 11    Sec. M. Desenv. Urbano, Obras e Trânsito                                                      
Unidade Orçamentária = 11.01 Coordenadoria de Desenvolvimento Urbano                                        
Função = 15 Urbanismo                                                                          
Subfunção = 451 Infra-estrutura Urbana
Programa= 0106 Gestão Urbana e Inovação
Ação: 1458 - EP 202540730001 - Pavimentação (SMODUTRAN)
Natureza da Despesa = 4.4.90.51.00.00- Obras e Instalações",854710.0,10.0,MUNICIPIO DE IJUI,"Pavimentação de trechos da Rua Rio Grande do Sul, Rua Pedro A. Sanfelice e Rua Frederico Prauchner. Área total de pavimentação 3.085 m².","Pavimentação de trechos da Rua Rio Grande do Sul, Rua Pedro A. Sanfelice e Rua Frederico Prauchner. Área total de pavimentação 3.085 m².",M2,30850.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
