"id_plano_trabalho_analise","codigo_siorg_orgao_analise_pt","nome_orgao_analise_pt","situacao_planejamento_pt","situacao_parecer_analise_pt","texto_parecer_analise_pt","situacao_analise_pt","data_analise_pt","valor_reprovado_analise_pt","id_plano_trabalho"
113478,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","- Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025.","Concluída","2025-08-07T15:25:22.087807",,38045
113482,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","- Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025.","Concluída","2025-08-07T15:26:51.702645",,39763
113511,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-07T15:45:46.941137",,34429
127285,304,"Ministério da Saúde","EM_COMPLEMENTACAO","Solicitar Complementação","Em análise ao Plano de Trabalho  apresentado para execução da Emenda Especial, verificou-se que não foram atendidos requisitos obrigatórios previstos na Portaria Conjunta MF/MGI nº 15, de 28 de julho de 2025, na Lei nº 8.080, de 19 de setembro de 1990, bem como em demais normativas aplicáveis ao planejamento e execução de ações no âmbito do Sistema Único de Saúde (SUS). 
Diante disso, solicita-se ao proponente a realização dos devidos ajustes, conforme os pontos a seguir: 
•	Detalhamento do Objeto de Execução: incluir descrição clara e objetiva do objeto, contemplando as metas a serem alcançadas. 
•	Metas: revisar as metas de forma detalhada, separando por item – cada item uma meta de modo que sejam objetivas, mensuráveis e com unidades de medida compatíveis com o objeto da proposta, observando a área de competência desta Secretaria e os princípios da Política Nacional de ATENÇÃO PRIMÁRIA À SAÚDE. 
•	Email instância de controle: Não foi informado o e-mail do Conselho Municipal de Saúde (CMS) e/ou não foram informados os e-mails institucionais dos Tribunais de Contas aos quais o ente está vinculado para fins de notificação automática no Transferegov.br. 
•	Programação Anual de Saúde (PAS): apresentar comprovação da previsão do objeto na PAS do ente beneficiário. Realizando envio em anexo. 
•	Deliberação da CIB: apresentar comprovação da previsão do objeto em deliberação da Comissão Intergestores Bipartite (CIB), nos termos do art. 5º, §1º, inciso I, alínea “h”, da Portaria Conjunta MF/MGI nº 15/2025. Realizando envio em anexo. 

•	Conta Corrente Específica: Ressalta-se que os recursos da transferência especial devem ser recebidos e movimentados em conta corrente específica para cada transferência, conforme § 3º do art. 5º da Portaria Conjunta MGI/MF nº 15/2025. Solicita-se que o proponente informe os dados da conta específica a ser utilizada. 

 
O não atendimento integral dos pontos acima poderá implicar na impossibilidade de prosseguimento da análise, conforme dispõe a legislação vigente.  
Para dúvidas relacionadas às adequações solicitadas, o proponente deverá contatar a Secretaria de Atenção Primária à Saúde (SAPS/MS) por meio de resposta à presente diligência no sistema Transferegov.br. 
Solicita-se que as diligências supracitadas sejam atendidas com a maior brevidade possível, considerando o calendário de execução das emendas parlamentares, amplamente divulgado no site do Fundo Nacional de Saúde (https://portalfns.saude.gov.br). 

","Concluída","2025-08-24T23:41:44.8078",,41880
113515,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025; ","Concluída","2025-08-07T15:47:13.483688",,40423
113518,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025; ","Concluída","2025-08-07T15:48:28.782176",,41517
113520,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-07T15:49:25.194377",,34654
137138,304,"Ministério da Saúde","EM_COMPLEMENTACAO","Solicitar Complementação","Em análise ao Plano de Trabalho apresentado para execução da Emenda Especial, verificou-se que não foram atendidos requisitos obrigatórios previstos na Portaria Conjunta MF/MGI nº 15, de 28 de julho de 2025, na Lei nº 8.080, de 19 de setembro de 1990, bem como em demais normativas aplicáveis ao planejamento e execução de ações no âmbito do Sistema Único de Saúde (SUS). 

Diante disso, solicita-se ao proponente a realização dos devidos ajustes, conforme os pontos a seguir: 


Deliberação da CIB: apresentar comprovação da previsão do objeto em deliberação da Comissão Intergestores Bipartite (CIB), nos termos do art. 5º, §1º, inciso I, alínea “h”, da Portaria Conjunta MF/MGI nº 15/2025. Realizando envio em anexo. 

Conta Corrente Específica: Ressalta-se que os recursos da transferência especial devem ser recebidos e movimentados em conta corrente específica para cada transferência, conforme § 3º do art. 5º da Portaria Conjunta MGI/MF nº 15/2025. Solicita-se que o proponente informe os dados da conta específica a ser utilizada. 

O não atendimento integral dos pontos acima poderá implicar na impossibilidade de prosseguimento da análise, conforme dispõe a legislação vigente.  

Para dúvidas relacionadas às adequações solicitadas, o proponente deverá contatar a Secretaria de Atenção Primária à Saúde (SAPS/MS) por meio de resposta à presente diligência no sistema Transferegov.br. 

Solicita-se que as diligências supracitadas sejam atendidas com a maior brevidade possível, considerando o calendário de execução das emendas parlamentares, amplamente divulgado no site do Fundo Nacional de Saúde (https://portalfns.saude.gov.br). 

 ","Concluída","2025-09-08T14:31:17.257191",,40983
113523,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025","Concluída","2025-08-07T15:49:59.569042",,36649
113526,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Alteração da unidade de medida das metas para deixar mais clara a mensurabilidade, por exemplo, km, m ou m² para pavimentação;","Concluída","2025-08-07T15:51:24.662189",,40519
143510,308798,"Ministério das Cidades","EM_COMPLEMENTACAO","Solicitar Complementação","1 Ajustar a quantidade (se necessário) e a unidade de medida da(s) meta(s) para que seja possível verificar a mensurabilidade. Informar unidade em “km”, “m”, “m²” ou “m³” para pavimentação.","Concluída","2025-09-30T18:11:08.717474",,37703
141040,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Meta aprovada.","Concluída","2025-09-23T10:32:01.663866",,40928
145589,308798,"Ministério das Cidades","ENVIADO_PARA_ANALISE","Aprovar Plano de Trabalho","- Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025.","Em elaboração","2025-10-03T15:17:49.57077",,36330
146759,308818,"Ministério dos Transportes","ENVIADO_PARA_ANALISE","Não se aplica","O plano de ação não é compatível com as ações e finalidades do MT. Destaca-se que o Ministério dos Transportes atua em Rodovias e Ferrovias da União, o que não contempla a aquisição de bens e serviços nas esferas Municipais e Estaduais.","Em elaboração","2025-10-10T16:03:25.100853",,36330
144773,308798,"Ministério das Cidades","EM_COMPLEMENTACAO","Solicitar Complementação","Informamos que o Plano de Trabalho referente a esta transferência especial foi devidamente analisado, conforme decisão do Supremo Tribunal Federal (STF). Em conformidade com as orientações da Portaria Conjunta MPO/MF/MGI/SRI-PR Nº 2, de 23 de Abril de 2025, foi identificada a necessidade de complementação das informações já cadastradas pelo ente beneficiário. A adequação deve observar, ainda, as disposições da Instrução Normativa TCU nº 93, de 17 de janeiro de 2024; do Decreto nº 11.271, de 5 de dezembro de 2022; da decisão do Plenário do Supremo Tribunal Federal no âmbito da Arguição de Descumprimento de Preceito Fundamental – ADPF nº 854. 
Dessa forma, solicitamos, gentilmente, que sejam atendidos os requisitos técnicos listados abaixo, a fim de adequar a proposta à ação de apoio ao Planejamento e Execução de Obras de Contenção de Encostas em Áreas Urbanas:


1.	Informar a localização georreferenciada da obra de contenção prevista, por meio da indicação precisa de coordenadas de latitude e longitude.

2.	Sempre que possível, indicar mais de um endereço de e-mail para notificação dos conselhos locais ou instâncias de controle social, a fim de garantir maior efetividade na comunicação e no acompanhamento das ações.

Por fim, cumpre informar que a presente análise está estritamente limitada aos aspectos definidos na Portaria supracitada, a qual estabelece os procedimentos e prazos para a avaliação dos planos de trabalho vinculados às emendas parlamentares individuais, na modalidade Transferência Especial, referentes aos exercícios de 2025, conforme competência dos órgãos e entidades setoriais integrantes do Sistema de Gestão de Parcerias da União – Sigpar.","Concluída","2025-10-02T16:24:56.753615",,39497
143306,304,"Ministério da Saúde","CONCLUIDO","Solicitar Complementação","Em análise à proposta apresentada, constatou-se que não foram atendidas as exigências previstas na Portaria Conjunta MGI/MF nº 15, de 28 de julho de 2025, bem como na Lei nº 8.080, de 19 de setembro de 1990, e demais normativas aplicáveis. 

Para emissão de parecer conclusivo, solicita-se ao proponente a realização das seguintes adequações, com a maior brevidade possível:
CNES: informar o CNES do(s) estabelecimento(s) de saúde beneficiado(s) com a emenda. 
Para dúvidas relacionadas às adequações solicitadas, o proponente deverá contatar a Secretaria de Atenção Primária à Saúde (SAPS/MS) por meio de resposta à presente diligência no sistema Transferegov.br. 

Solicita-se que as diligências supracitadas sejam atendidas com a maior brevidade possível, considerando o calendário de execução das emendas parlamentares, amplamente divulgado no site do Fundo Nacional de Saúde (https://portalfns.saude.gov.br). ","Concluída","2025-09-30T14:31:25.57946",,37250
133946,308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar","APROVADO","Aprovar Plano de Trabalho","Após análise do Plano de Trabalho inserido no Transferegov.br, verifica-se o atendimento das exigências previstas no art. 5º, § 1º, inciso I da Portaria Conjunta MF/MGI nº 15/2025, conforme detalhamento a seguir:

Vinculação da finalidade com o objeto da emenda:
A finalidade indicada pelo ente beneficiário apresenta compatibilidade com o objeto previsto na proposta de emenda parlamentar.

Metas mensuráveis:
Foram apresentadas metas de execução claras e quantificáveis, condizentes com o valor total do plano de trabalho.

Ação orçamentária:
Consta a ação orçamentária na qual os recursos serão alocados no orçamento municipal/estadual, conforme exigido.

Declaração de não destinação para despesas com pessoal e encargos:
Consta no Transferegov a declaração do ente beneficiário quanto à vedação da utilização dos recursos para despesas para despesa de pessoal e serviço da dívida.

Prazo de execução:
O plano apresenta prazo de execução compatível com os limites legais, de acordo com o art. 22 da Portaria.

Compatibilidade com competências do executor:
O objeto do plano está dentro das competências legais do ente executor.

Contatos dos conselhos ou instâncias de controle social e tribunais de contas:
O ente beneficiário registrou no Transferegov o e-mail para notificação do conselho local ou instâncias de controle social.

Parecer do SUS (quando aplicável):
Não se aplica, por não se tratar de recurso destinado à área da saúde.","Concluída","2025-08-28T11:13:23.597916",,38059
144774,308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar","EM_COMPLEMENTACAO","Solicitar Complementação","Após reanálise objetiva do Plano de Trabalho vinculado à Transferência Especial, registrada no Transferegov.br, foram identificadas algumas pendências. Solicita-se, portanto, a devida complementação das informações, a fim de possibilitar a conclusão da análise.

Atenciosamente,

Coordenação de Infraestrutura - CINFRA
Ministério do Desenvolvimento Agrário e Agricultura Familiar - MDA.","Concluída","2025-10-02T16:25:10.502477",,42720
126467,308799,"Ministério da Integração e do Desenvolvimento Regional","EM_COMPLEMENTACAO","Não se aplica","Prezado, considerando que “Aquisição de insumos para adequação de pontes” sugere custeio e essa atividade não é passível de atendimento, faz-se necessário o ajuste do objeto ou o cadastramento e uma nova finalidade para direcionamento de para outra ministério para possívela atendimento.
Na descrição da Meta 1, sugere-se a substituição a expressão “recuperação” por “construção”.
Em caso de dúvidas, favor entrar em contato pelo WhatsApp: (61) 2034-5040.","Concluída","2025-08-22T17:22:51.774761",,39409
146749,308799,"Ministério da Integração e do Desenvolvimento Regional","ENVIADO_PARA_ANALISE","Solicitar Complementação","Solicitam-se as seguintes informações na descrição das metas:

* Quantas pessoas serão atendida
* Quantidade poços serão perfurado
* Profundidade estimada dos poços
* Composição do sistema de abastecimento proposto: se haverá aquisição de bomba, aquisição de reservatório, e instalação elétrica

Ajustar o campo FINALIDADE, incluir 
18-Gestão Ambiental / 544-Recursos Hídricos","Em elaboração","2025-10-07T17:29:17.121791",,39479
110999,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Não se aplica","O conteúdo do Parecer “Não se Aplica” se dá em razão de o Plano de Ação não ser compatível com as ações e finalidades da Secretaria Nacional de Políticas de Desenvolvimento Regional e Territorial – SDR, do Ministério da Integração e Desenvolvimento Regional – MIDR.
Caso queira consultar os Manuais das Ações da Secretaria, copie e cole o link a seguir: bit.ly/3WNht

","Concluída","2025-08-05T11:38:02.222308",,38605
112112,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025.","Concluída","2025-08-06T13:24:10.049994",,38605
115782,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025.","Concluída","2025-08-11T19:34:31.913593",,38655
114750,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-09T14:58:57.408746",,38225
145268,308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","APROVADO","Aprovar Plano de Trabalho","Prezado Gestor, 

Segue, em anexo, o PARECER DE RECOMENDAÇÃO nº 655 – TRANSFERÊNCIAS ESPECIAIS.
","Concluída","2025-10-03T11:09:28.496608",,42739
133961,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025","Concluída","2025-08-28T11:23:32.819785",,41286
118403,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025","Concluída","2025-08-14T11:09:48.583178",,40480
111502,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho.","Concluída","2025-08-05T19:23:05.557401",,35706
111503,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025.","Concluída","2025-08-05T19:24:47.400557",,36045
111504,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho.","Concluída","2025-08-05T19:26:14.829559",,34417
117022,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-13T11:45:44.405491",,38198
126751,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-23T15:41:48.977014",,40109
121744,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025. 
","Concluída","2025-08-18T14:29:10.419474",,38190
118410,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho

","Concluída","2025-08-14T11:11:01.165363",,39390
144762,304,"Ministério da Saúde","EM_COMPLEMENTACAO","Solicitar Complementação","Assunto: Análise de mérito da proposta no âmbito da Portaria Conjunta MGI/MF nº 15, de 28 de julho 2025. 

Proponente: (FMS) 

UF: GO     Município: ARAÇU 

1.            CONTEXTUALIZAÇÃO 

A presente análise refere-se à proposta apresentada pelo ente federativo supracitado no âmbito da Portaria Conjunta MGI/MF nº 15/2025, que dispõe sobre o processo de execução orçamentária e financeira pela União da transferência especial de que trata o art. 166-A, caput, inciso I da Constituição, e estabelece regras de execução da despesa e de transparência a serem observadas por estados, Distrito Federal e municípios. 

2.	ANÁLISE TÉCNICA  
Considerando a análise realizada, constata-se que as exigências não foram cumpridas, conforme regramentos estabelecidos na Portaria Conjunta MGI/MF nº 15/2025, de 28 de julho de 2025. Para emissão de parecer conclusivo, solicita-se a seguinte adequação na proposta apresentada:


1.	Refazer o documento anexado na proposta com o nome Plano de Trabalho. Esta ambulância NÃO é financiada para Atenção Básica;
2.	Cumpre esclarecer que o Transporte Sanitário Eletivo financiado pelo Ministério da Saúde é para atender ao deslocamento de pessoas que precisam realizar procedimentos médicos, como consultas, exames e tratamentos, que são agendados.
3.	Informar o CNES da unidade como CENTRAL DE GESTÃO EM SAÚDE, no campo específico da proposta -  O VEÍCULO NÃO DEVERÁ SER VINCULADO A NENHUM ESTABELECIMENTO ASSISTENCIAL;
4.	Informar a necessidade do transporte com justificativa de implantação ou qualificação do serviço para pacientes com necessidade de transporte;
5.	Correlacionar os objetivos da proposta com as diretrizes da Atenção Especializada;
6.	Informar as referências da pactuação regional da atenção especializada;


Documentos Obrigatórios:

a)	Declaração do gestor descrevendo a necessidade do Transporte Sanitário, conforme formulário do transporte sanitário disponível no INVESTUS;
b)	Termo de Compromisso assinado pelo Gestor Local assegurando o custeio e a manutenção referente ao pleno funcionamento do veículo para os objetivos propostos.
c)	Relatório de Transporte do Sistema Nacional de Regulação - SISREG ou outro relatório caso o município não utilize o SISREG dos últimos 3 meses (o relatório deve conter nome, data, hora, local de saída e chegada dos pacientes). O documento deve ser assinado pelo Gestor;
d)	Declaração do Gestor demostrando se já houve ou não recursos federais para aquisição de transporte sanitário nos últimos 3 (três) anos.


Para dúvidas relacionadas as adequações solicitadas entrar em contato com analisetecnica.saes@saude.gov.br
Solicita-se que as diligências supracitadas sejam atendidas com a maior brevidade possível, considerando o calendário de execução das emendas parlamentares, amplamente divulgado no site do Fundo Nacional de Saúde (https://portalfns.saude.gov.br). 
","Concluída","2025-10-02T16:09:40.999937",,37170
140042,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Meta aprovada.","Concluída","2025-09-18T14:24:26.132829",,40001
110530,308798,"Ministério das Cidades","EM_COMPLEMENTACAO","Solicitar Complementação","A meta deve ser mais detalhada e mensurável. Especificar as ruas/vias que serão pavimentadas e se é no trecho urbano ou rural. Alterar a unidade medida (UN) para M ou M2 bem como as respectivas quantidades. Por gentileza, ajustar. ","Concluída","2025-08-04T15:44:17.502127",,37812
133955,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025.","Concluída","2025-08-28T11:19:09.499471",,37884
141295,304,"Ministério da Saúde","APROVADO","Aprovar Plano de Trabalho","Nesses termos, e restrito às informações contidas no plano de trabalho, na Plataforma Transfergov.br, essa área técnica verificou que de acordo com o art. 3º da Portaria Conjunta MGI/MF n°. 15, de 28 de julho de 2025, recomenda-se a APROVAÇÃO.

Dessa forma, constata-se que todos os requisitos exigidos foram devidamente atendidos, não havendo impedimentos para a continuidade do processo e a consequente transferência dos recursos aos beneficiários.

Ressalta-se que a análise realizada não contempla a apreciação do custo/valor apresentado, observou-se exclusivamente os requisitos meritórios.

Salienta-se que compete ao beneficiário garantir os recursos humanos e de infraestrutura necessários à execução do objeto, de forma a permitir o alcance do objeto proposto, em conformidade com a legislação vigente e as informações constantes no plano de trabalho.

Esclarecemos que atuação do Ministério se limita à análise do Plano de Ação apresentado pelo beneficiário, exclusivamente para verificar o seu enquadramento às políticas públicas do Ministério. Não cabe ao órgão setorial acompanhar a execução dos recursos ou intervir na forma como são utilizados, sendo essa atribuição do próprio beneficiário e dos órgãos de controle competentes.

Dessa forma, o beneficiário assume total responsabilidade pela correta utilização dos recursos, devendo assegurar que sua aplicação esteja em conformidade com a legislação vigente. Também é de sua exclusiva responsabilidade a prestação de contas aos órgãos de controle e a adoção das medidas necessárias para evitar qualquer irregularidade.

Caso ocorra o uso indevido dos valores, eventuais sanções, penalidades ou exigências de devolução de recursos serão direcionadas ao beneficiário, não cabendo o Ministério da Saúde qualquer responsabilidade sobre esses aspectos.","Concluída","2025-09-24T09:27:30.952728",,39049
139417,308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","APROVADO","Aprovar Plano de Trabalho","Prezado Gestor,
Segue, anexo PARECER DE RECOMENDAÇÃO nº 442– TRANSFERÊNCIAS ESPECIAIS
","Concluída","2025-09-16T15:40:47.430587",,39714
114891,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-10T10:31:39.170984",,38294
146054,308798,"Ministério das Cidades","EM_COMPLEMENTACAO","Solicitar Complementação","detalhar o objeto informando o local prentendido e informando que se trata de regularização fundiária de interesse social (REURB-S)
informar na meta a unidade ""Lotes"" e a quantidade de lotes a serem regularizados.
alterar em finalidades função e a sub-função para: 15 - urbanismos / 127 - ordenamento territorial","Concluída","2025-10-03T17:55:43.467337",,38084
139279,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025","Concluída","2025-09-16T11:22:20.572673",,38353
113528,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025","Concluída","2025-08-07T15:51:33.062116",,37476
146702,235881,"Ministério da Justiça e Segurança Pública","ENVIADO_PARA_ANALISE","Aprovar Plano de Trabalho","CONCLUSÃO (OBSERVAÇÕES e PRAZOS PARA ATENDIMENTO DAS DILIGÊNCIAS)

Ante o exposto e de acordo com as informações disponíveis, conclui-se que o plano de trabalho apresenta evidências de conformidade com o disposto no art. 2º, §3º da Lei Complementar nº 210 e ao art. 5º, §1º, Inciso I, alíneas ""a"" a ""g"", da Portaria Conjunta MGI/MF nº 15, de 28 de julho de 2025. Com isso, considera-se que o plano de trabalho encontra-se APROVADO, nos termos da legislação aplicável, não se identificando óbices para o regular prosseguimento da proposta.

Ressalta-se ainda que, este Parecer não contempla a análise quanto ao cumprimento da aplicação mínima obrigatória de 70% (setenta por cento) em despesas de capital nas transferências especiais por autor, conforme disposto no art. 11 da Portaria Conjunta MF/MGI nº 15, de 28 de julho de 2025, tendo em vista a atribuição avocada pelo Ministério da Gestão e da Inovação em Serviços Públicos (MGI), na qualidade de órgão central do Sistema de Planejamento e de Orçamento Federal (SPOF), conforme tratativas anteriores.

Ademais, a necessidade de que a execução dos recursos observe integralmente os princípios da legalidade, da impessoalidade, da eficiência e da transparência, bem como os mecanismos de controle social e institucional previstos nos normativos vigentes, inclusive em relação aos procedimentos licitatórios que serão realizados.

É o parecer que se submete à consideração. ","Em elaboração","2025-10-06T10:53:26.2404",,43815
