"id_relatorio_gestao","situacao_relatorio_gestao","parecer_relatorio_gestao","id_plano_acao"
4586,"DISPONIBILIZADO","Emenda Parlamentar Especial - Dep. Denis Bezerra
1) Aquisição de 25 COMPUTADORES para os coordenadores de área. Valor  R$160.000,00
2) Aquisição de 25 NOTEBOOKS para os coordenadores de área. Valor: R$ 171.750,00
3) Instalações físicas (divisórias). Valor: 151.210,00

Emenda Parlamentar Especial - Dep. Denis Bezerra 
- Valor do Crédito: 500.000,00 (Quinhentos Mil Reais)

Objetivo:
Modernização das instalações e aquisição de equipamentos de TIC para melhoria da gestão;

Objetivo específico: 
Emenda Parlamentar Especial - Dep. Denis Bezerra 
-  Valor do Crédito: 500.000,00 (Quinhentos Mil Reais)
a) Aquisição de 25 computadores para coordenadores;
b) Aquisição de 25 notebooks para os coordenadores;
c) Modernização das instalações físicas;

Justificativa: 
A SEPLAG tem a propositura de realizar a transformação digital da gestão pública estadual, por meio de tecnologias inovadores, para melhorar o acesso aos serviços públicos, ampliar a disponibilidade e compartilhamento de dados governamentais e fomentar a participação e controle social;
Para tanto, este órgão tem trabalhado na prospecção de ações que possibilitem a consecução do Programa Governo Digital do Ceará, trazendo novos sistemas em tecnologias mais atuais, o que demanda o uso de equipamentos mais robustos e modernos pelo seu corpo funcional; 

EXECUÇÃO FINANCEIRA

CONTRATO
CREDOR
OBJETO
PROCESSO
EMPENHO
NF
LIQUIDAÇÃO
ORDEM BANCÁRIA
VALOR
08/2022
TORINO

FORNECIMENTO DE 80 COMPUTADORES
46001.000524/2022-13 
2022NE00370
10724
2022NL00588
2022OB01094
160.000,00
09/2022
TORINO 
FORNECIMENTO DE 25 ULTRABOOKS
46001.000521/2022-71 
2022NE00350
11281
2022NL000809
2022OB001417
171.750,00
30/2022
MARCENARIA SULAR
SERVIÇOS DE CONFECÇÃO DE DIVISÓRIAS, PISO ELEVADO, ELABORAÇÃO DE PROJETO, FORNECIMENTO, INSTALAÇÃO, MONTAGEM, DESMONTAGEM E MANUTENÇÃO DE DIVISÓRIAS, INCLUINDO TODO MATERIAL NECESSÁRIO À EXECUÇÃO DOS SERVIÇOS 
46001.003498/2022-77 
2022NE001060
50318
2023NL000408
2023OB000847 E 2023OB000848
151.210,00
Total executado
482.960,00

*NF – Nota Fiscal

*VER NA ABA LISTA DE ANEXOS - RELATÓRIO DE GESTÃO DE RECURSOS COMPLETO*",3240
15924,"DISPONIBILIZADO","Por meio da Transferência Especial, oriunda da emenda Parlamentar  nº 2020141100004, Deputado Federal Reginaldo Lopes. Repasse de recurso para atender a Secretaria Municipal de Cultura e Turismo de Lagoa da Prata. Tem como objeto contratação de empresa especializada em engenharia  SPERTA EMPREENDIMENTOS LTDA, CNPJ 31.591.188/0001-13,  para Construção da Quadra de Futebol e Vôlei de Areia, na praia municipal de Lagoa da Prata/MG, obra executa de maneira satisfatória, dentro do prazo e todos os itens da planilha orçamentaria foram cumpridos conforme Diário de Obra e Atestado Técnico.
Repasse muito importante ao nosso município,  proporcionou um empreendimento de grande importância para população e para os visitantes, na parte turística e cultural, agregando o lazer, esporte num local lindo da nossa cidade , as quadras são utilizadas diariamente por adultos e crianças, oferecendo assim aos munícipes uma qualidade de vida física e mental.
",3246
15737,"DISPONIBILIZADO","AQUISIÇÃO DE UM CAMINHÃO PIPA",3194
6884,"EM_ELABORACAO","O recurso recebido através de transferência especial no ano de 2020, no valor de R$ 250.000,00, foi utilizado em aditivos de contrato de obras já em andamento, dos anos de 2018 e 2019, das áreas de infraestrutura e esporte, tendo em vista a necessidade de acréscimo de serviços para conclusão das obras, para que as mesmas pudessem ser entregues a população atendendo todas as funcionalidades previstas em projeto. Parte do valor também foi utilizado em contrato de obra do ano de 2020, na área do esporte.
Em anexo segue tabela com valores utilizados em cada contrato, bem como os documentos comprobatórios da utilização do recurso.  
",3210
207,"EM_ELABORACAO","Passarela da Moda - Etapa 1 (pavimentação e Drenagem)",3218
8453,"DISPONIBILIZADO","Pavimentação Asfáltica de Vias Públicas da Sede do Município e da Comunidade Rural de Melancias, garantindo desenvolvimento e melhoria da Infraestrutura Urbana e qualidade de vida dos municípes.",3222
7679,"DISPONIBILIZADO","O presente recurso foi utilizado de forma distinta para viabilizar a execução e finalização de diversas obras no município, conforme listado abaixo:
- R$17.931,89 complemento de valor para finalizar o banheiro público municipal
- R$60.999,36 aditivo de abjeto necessário à finalização do calçamento do primeiro trecho da LMG 871 
- R$48608,24 aditivo de abjeto necessário à finalização da quadra poliestportiva localizada no distrito de São Domingos. 
- R$26.782,87 valor complementar empregado para a finalização do campo Municipal, localizado no distrito de Manejo
- R$45.677,64 valor complementar ao aditivo de objeto necessário para adequação, a fim de viabilizar a continuidade da obra da creche tipo 1, localizada no bairro cruzeiro, neste município. 

A quantia de R$50.000,00, destinada a custeio, ainda não foi utilizada. ",3234
7533,"EM_ELABORACAO","Aquisição de Veículo de Passeio tipo Hatch Zero Km no valor de R$ 96.044,75 ( Noventa e seis mil, quarenta e quatro reais e setenta e cinco centavos ), em atendimento à Secretaria Municipal de Obras Públicas para serviços de competência da mesma",3296
614,"DISPONIBILIZADO","Execução parcial de obra de pavimentação asfáltica em C.B.U.Q. (reperfilagem) e sinalização viária na Rua Antônio Dillmann.

Eu, CLAUDIO JUNIOR WESCHENFELDER, CPF 061.266.679-48, Prefeito Municipal de Guarujá do Sul – SC, DECLARO expressamente que o objeto recursos previstos desta transferência especial foi executado e concluído, conforme determinada o Art. 9º da INSTRUÇÃO NORMATIVA - TCU Nº 93, DE 17 DE JANEIRO DE 2024.",3249
1562,"DISPONIBILIZADO","Segue anexo prestação de contas do recurso destinado à pavimentação da Rua Riachuelo.",3282
5084,"DISPONIBILIZADO","Com o recurso recebido através de emenda especial - ministério da fazenda, foi executado trecho de pavimentação asfáltica em rua do município de Arroio do Meio.Em anexo, documentos referentes ao processo licitatório e execução da obra com pagamento.",3275
1213,"DISPONIBILIZADO","Por meio da Transferência Especial no valor de R$ 1.7500.000,00, oriunda da emenda nº 202030800011 do Deputado Federal Daniel Coelho, a Prefeitura de Caruaru-PE executou a seguinte ação:

1.        Pavimentação da rua Cícero Araújo da Silva (conhecida como Av. Venezuela) e rua Goiás. 
",3305
4019,"DISPONIBILIZADO","São Paulo, 13 de dezembro de 2022.
Relatório nº 001/SMSU-EMENDAS/2022.
Referência: Prestação de Contas Emenda Deputada Federal Katia Sastre.

Trata o presente da prestação de contas da Emenda Parlamentar da Deputada Federal Policial Katia Sastre, no valor de repasse de R$ 200.000,00 (duzentos mil reais), referente a Ação OEC2 – Transferência Especial.
O referido Objeto teve seu ato administrativo e licitatório tratado por meio do processo SEI 6029.2020/0009024-0, onde deu início o Pregão Eletrônico 105/SMSU/2020 – Aquisição de barco do tipo inflável para salvamento, tendo como ganhadora a empresa TEREZINHA PRIETO ROJAS – ME, inscrita no CNPJ sob o n° 07.083.756/0001 e foi homologado no Diário Oficial da Cidade de São Paulo, na data de 25/02/2021, que por consequência gerou a elaboração do Termo de Contrato nº 012/SMSU/2021.
O referido Objeto foi incorporado ao patrimônio da Secretaria Municipal de Segurança Urbana na Data de 13/07/2021 com o número 001.00689/2021.
Informo que junto a este relatório vai anexado os seguintes documentos:
- Homologação do Pregão Eletrônico 105/SMSU/2020, publicado no Diário Oficial da Cidade de São Paulo, na data de 25/02/2022; 
- Extrato do Termo de Contrato nº 012/SMSU/2021, publicado no Diário Oficial da Cidade de São Paulo, na data de 10/03/2021;
- Termo do Contrato nº 012/SMSU/2021, devidamente assinado entre a Secretaria Municipal de Segurança Urbana e a empresa TEREZINHA PRIETO ROJAS ME;
- Extrato Nota de Empenho nº 30.318;
- Extrato Nota de Empenho nº 39.456;
- Nota de Liquidação e Pagamento nº139.299;
- Nota de Liquidação e Pagamento nº 139.308;
- Nota de Liquidação e Pagamento nº 139.314;
- Nota de Liquidação e Pagamento nº 139.322;
- Nota Fiscal nº 009.009;
- Nota Fiscal nº 009.010;
- Nota Fiscal nº 009.011;
- Nota Fiscal nº 009.064 – em parte no Valor de R$ 33.500,00 (trinta e três mil e quinhentos reais)
- Nota de Incorporação de Bens Patrimoniais e Intangíveis nº 001.003689/2021 e,
- Relatório Fotográfico Barco.



Atenciosamente,



ELZA PAULINA DE SOUZA
Secretária Municipal de Segurança Urbana

",3281
651,"DISPONIBILIZADO","                  RELATÓRIO DE GESTÃO


A Aquisição de materiais esportivos e uniformes para funcionários foram usados para trabalhar e na realização de eventos com crianças, jovens, adolescentes e adultos, visando suprir as necessidades do Departamento de Esportes. E o Veículos tipo Pick up, está sendo usado no atendimento em assistência técnica na Agricultura Familiar e na readequações das estradas municipais do Município de São Miguel do Iguaçu, PR.,
",3318
406,"DISPONIBILIZADO","A Prefeitura da Cidade do Rio de Janeiro, em 2020, recebeu recursos de emenda especial do Deputado Federal Jorge Braz, no montante de R$ 2 milhões, sendo 100% na rubrica de investimento.
Foram aplicados no total R$ 2.015.555,13 em requalificações/revitalizações de ruas na Cidade do Rio de Janeiro (98,05%), reforma no centro esportivo Marcílio Dias (0,28%) e aquisição com instalação de sistema de proteção contra descargas atmosféricas (spda) para a Fundação Planetário do Rio de Janeiro, executados pela antiga Subsecretaria de Habitação (SUBH) da Secretaria Municipal de Infraestrutura, Habitação e Conservação, atualmente Secretaria Municipal de Habitação (SMH) e a Fundação Planetário do Rio de Janeiro, totalizando 100% do valor repassado pela emenda parlamentar e mais 0,78% utilizado pelo rendimento da aplicação do recurso transferido para o Município do Rio de Janeiro.
Resumidamente, os recursos foram aplicados nas seguintes intervenções:
•	08 (oito) empreendimentos de requalificações/revitalizações nas localidades: 
       - Rua André Rocha – Curicica;
       - Rua Engenheiro Carlos de Oliveira Freire comunidade Quitungo – Brás de Pina;
       - Estrada do Inhoaíba – Campo Grande;
       - Rua Jorge Lacerda – Jardim América;
       - Localidade da Pedreira – Penha;
       - Manoel de Matos – Morro da Fé – Penha;
       - Rua Itaguagé – Curicica;
       - Rua Seabra Filho – Campo Grande.
•	01 (um) reforma no centro esportivo Marcílio Dias – Complexo do Lins (pequena parcela).
•	aquisição com instalação de sistema de proteção contra descargas atmosféricas (spda)( uma parte do valor total).
Ressalvamos, que anexamos toda a documentação das licitações, dos Contratos e dos pagamentos, bem como a Conciliação Bancária e Planilhas de Controle de Faturas e de Controle dos Processos Instrutivos.
Os documentos de licitação, contratos de despesa e faturamento podem ser consultados através do link :
https://drive.google.com/drive/folders/1L_Ol5JGdjAaGvuC78t16z2z0gYiVS8aY?usp=sharing   
",3355
1402,"DISPONIBILIZADO","Em anexo Relatórios de Gestão Anual, dos recursos recebidos através do Plano de Ação 0903-003257. Declaramos que todas as aquisições atenderam a todos os dispositivos constantes na legislação em vigor. Sem mais, informamos que todos os recursos da ação bem como o seus rendimentos foram aplicados como consta nos relatórios de gestão.",3257
2390,"EM_ELABORACAO","OBJETOS DO RECURSO:
PARQUE INFANTIL - PISTA SKATE TP04/20
GINÁSIO DE ESPORTES TP 02/20
PRAÇA PROFESSOR PEDRO FECCHIO 02/2022
BRINQUEDOS INFANTIL PREGAO 30/2020
LUMINARIAS PRAÇA DISPENSA 34/2020",3343
108,"EM_ELABORACAO","Recursos utilizados para pavimentação da Rua Hélio Bosco de Castro.",3358
848,"DISPONIBILIZADO","RECURSO ULTILIZADO NA RECUPERAÇÃO DE ESTRADA VICINAL CONFORME DESCRITO ABAIXO.

CONTRATO Nº 20200281 QUE TEM COMO OBJETO LOCAÇÃO DE
EQUIPAMENTOS PARA ABERTURA DE ESTRADA VICINAL NO MUNICÍPIO
DE PLACAS - COMUNIDADE SOMBRA SANTA - EP 202039010002
Medição 01 = R$ 50.465,18
Medição 02 = R$ 50.465,18
Medição 03 = R$ 50.465,18
Medição 04 (Aditivo) = R$ 3.889,12
Total = R$ 155.284,66
CONTRATO N° 20200283 QUE TEM COMO OBJETIVO A AQUISIÇÃO DE
COMBUSTÍVEL AUTOMOTIVO PARA ABERTURA DE ESTRADA VICINAL
NO MUNICÍPIO DE PLACAS – COMUNIDADE SOMBRA SANTA – EP
202039010002
Medição 01 = R$ 115.609,53
Medição 02 = R$ 113.609,53
Medição 03 + Aditivo = R$ 115.620,00
Total= R$ 344.839.06",3292
8310,"DISPONIBILIZADO","Relatório de cumprimento do objeto/finalidade.

1. DADOS DA TRANSFERENCIA

Código do Plano de Ação: 0903-003357
Modalidade de Transferência: Especial
Programa: 0903
Emenda Parlamentar: 202028560001-ROGÉRIO PENINHA MENDONÇA

2. DADOS DA CONTRATAÇÃO

Fornecedor: HETRIOS TERRAPLENAGEM E CONSTRUCOES LTDA - ME
CNPJ: 84.584.556/0010-53
Contrato: 27/2020
Valor Contratado: R$ 269.996,35
Valor Aditivo: 16.027,36
Valor Total: R$ 286.023,71

Valor Executado: R$ 286.023,71
Valor Suprimido: R$ 0,00
3. Relatório Consubstanciado da Execução 
Ações Programadas: 
Transferência Especial - Investimento;

Ações Executadas:
Transferência Especial - Investimento;
- SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DA OBRA DE PAVIMENTAÇÃO EM LAJOTAS HEXAGONAIS DA RUA JOÃO GARLINI NA LOCALIDADE DE TAIOZINHO COM EXTENSÃO TOTAL 214,82 M.

Dificuldades encontradas: 
Não foram encontradas dificuldades para execução da transferência especial. 
BENEFÍCIOS ALCANÇADOS
A pavimentação da Rua João Garlini proporciona melhores condições de trafego, reduzindo a poeira e a lama, bem como a redução dos custos de manutenção da via.

4. Resumo Percentual.
Físico Executado: 100,00%. 
Percentual Financeiro Executado: 100,00%.
5. Execução Financeira.
Receita
Repasse: R$ 300.000,00
Contrapartida: R$ 0,00
Rendimento: R$ 3.967,46
Total: R$ 303.967,46

Despesa
Pagos Fornecedores: R$ 286.023,71
Tarifas bancarias: R$ 0,00
Total: 286.023,71

Saldo: 17.943,75
",3357
337,"DISPONIBILIZADO","Aquisição de equipamentos agrícolas (distribuidores de adubo líquido e sólido), para sanar a escassez destes equipamentos junto às comunidades rurais do município. ",3321
276,"DISPONIBILIZADO","Ofício N.º 382/2021 – Prestação de Contas                                    10 de Junho de 2021.


Vimos, pelo presente, encaminhar ao Ministério da Economia, a documentação abaixo relacionada, referente à Prestação de Contas Final da Emenda Parlamentar n.º 202023560002,  Aquisição de Veículo para Manutenção Elétrica.


2 – Anexo RP 02;
3 – Extratos Bancários da Conta Vinculada;
4 – Extratos Bancários da Conta Investimento;
5 - Cópia da Despesa: Ordem de Pagamento, Nota de Empenho e Nota Fical;
6 – Cópia da Ficha Patrimonial do bem adquirido;
7 -  Cópia do Decalque do Chassi;
8 - Cópia do documento do veículo.



Cotando com a especial atenção de Vossa Excelência, subscrevemo-nos com apreço.



AMARILDO DUZI MORAES
Prefeito Municipal

",3336
8294,"DISPONIBILIZADO","OBJETO:

1. Aquisição de Massa asfáltica usinada quente para aplicação a frio, 2.000 unidades de sacos de 25 KG. 
2. Aquisição de 01(uma) Vassoura recolhedora de acoplamento Mini carregadeira, utilizada na remoção de resíduos de recapeamento de asfalto, limpeza de ruas, rodovias e patios de 60"".
3. Aquisição de Playground infantil (parquinho), produzido em madeira de lei tratada e pintada, icluindo o transporte e montagem conforme especificações contidas no Termo de Referência.
",3338
532,"DISPONIBILIZADO","Serviço de Infraestrutura urbana recapemaneto asfáltico rua Floreal entre as ruas Mogi das Cruzes e Cotia.",3327
386,"DISPONIBILIZADO","O Município de Pinheiro Preto, recebeu emenda parlamentar autoria do Deputado Jorginho Mello, valor de investimento de R$ 100.000,00 (cem mil reais). Diante a necessidade do município optou-se por adquirir uma Escavadeira Hidráulica, para atender a demanda da secretaria municipal de transportes e obras. Mediante o repasse lançou-se edital de licitação para adquirir o bem.  Pregão número 052/2020 processo número 095/2020, contrato administrativo 178/2020.
Para pagamento, utilizou-se o valor da emenda de R$ 100.000,00 (cem mil) e o valor da diferença utilizou-se outras fontes de recursos, conforme será demonstrado através dos comprovantes de pagamentos em anexo.    ",3351
4001,"DISPONIBILIZADO","TP 16/2020 para a execução de CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA EXECUÇÃO DE RECAPEAMENTO ASFALTICO EM CBUQ NAS RUAS PERNAMBUCO E GUARANY, conforme contrato 427/2020 CAW Serviços de Terraplenagem Ltda, no valor de R$ 515.291,20",3380
623,"DISPONIBILIZADO","O Município de Gaspar optou por aplicar os recursos da Emenda Parlamentar na área da Saúde, adquirindo equipamentos médico-hospitalares, instrumentalizando o Hospital de Gaspar, proporcionando melhor e mais completo atendimento aos munícipes. 
Para tanto, foi realizado Processo Licitatório 033/2020 para Aquisição de Equipamentos de Ultrassonografia e Raio X, decorrido os trâmites legais, procedeu-se a publicação do Extrato dos Contratos no Diário Oficial da União, sendo Contratos SAF 122/2020 e 123/2020.
Na sequência, o município procedeu com a aquisição de 01 Aparelho de Ultrassonografia Alliage no valor de R$ 182.000,00. 
A quitação do equipamento contou com o valor integral da respectiva emenda parlamentar n° 202022100018, disponibilizada pelo Deputado Federal Espiridião Amin, no valor de R$ 150.000,00, e contou ainda com a complementação de valores na seguinte ordem: R$ 21.500,00 da Emenda n° 202028560001-Rogério Peninha Mendonça e R$ 10.500,00 provenientes de recursos próprios do Município de Gaspar.
A aquisição do referido equipamento, trouxe melhoria e maior eficiência no atendimento médico-hospitalar do Município. ",3366
4559,"DISPONIBILIZADO","- OBJETO: PAVIMENTAÇÃO E SINALIZAÇÃO EM VIA URBANA DO MUNICÍPIO DE VITOR MEIRELES/SC, VIA TRANSFERÊNCIA ESPECIAL, PROGRAMA: 0903, EMENDA: 202022100018 - INVESTIMENTO, CONTENDO AS RUAS ALFREDO MENEGHELLI E YOLANDA MORETTI PARCIAL.
- EDITAL DE LICITAÇÃO nº 29/2020 – Tomada de Preço Obras e Serviços Engenharia 8/2020;
- TERMO DE CONTRATO nº 42/2020.
- ORDEM DE INICIO DE SERVIÇO Nº: 09/2020.
",3378
861,"DISPONIBILIZADO","Os recursos destinados a este Município, no valor de R$ 800.000,00, foram utilizados na realização de infraestrutura urbana, visando a Implantação de guias, sarjetas e drenagem na Avenida Nadir do Carmo Leme e construção de praças.",3400
583,"DISPONIBILIZADO","O RECURSO FOI UTILIZADO PARA FAZER O PAGAMENTO PARA EMPRESA GUILHERME LUIZ AIMI PARA EXECULTAR PAVIMENTAÇÃO NA AV. ARAPONGAS NO MUNICIPIO DE CARLINDA MT, SENDO 11.293,16 M²  DE PAVIMENTO QUE EQUIVALE APROXIDAMENTE 1 KM E 238,84 METROS. FOI UTILIZADO R$290.000,00 RECURSO DA EMENDA ESPECIAL E R$ 344.029,36  RECURSO PROPIO TOTALIZANDO R$ 634.029,36 O VALOR DA OBRA. ",3342
7014,"DISPONIBILIZADO","EXECUÇÃO DE OBRA CONSISTENTE NA CONSERVAÇÃO E MANUTENÇÃO DE ESTRADAS RURAIS MUNICIPAIS.",3310
192,"EM_ELABORACAO","Com os recursos da Transferência Especial",3381
1224,"DISPONIBILIZADO","As ações realizadas com os recursos de emenda especial foram: pavimentação asfáltica de vias (recapeamento), construção de murro de arrimo na Praça de Esportes Doutor Júlio Meirelles e em serviços de serralheira para fechamento de alambrado da Quadra no Bairro Santa Cruz.",3329
359,"DISPONIBILIZADO","O recurso foi aplicado na aquisição de materiais de construção civil, emulsão asfáltica, pedras para a base e pó de pedra que foram utilizados na pavimentação asfáltica e implantação de galerias pluviais de vias públicas urbanas do município. Consideramos que o objetivo do investimento foi atingido em 100%.",3349
268,"DISPONIBILIZADO","Aquisição de Viatura caracterizada para uso da Guarda Civil Municipal de Diadema",3333
961,"DISPONIBILIZADO","Vimos através deste comprovar a aplicação dos recursos oriundos de verbas de Transferências Especiais.
Conforme os anexos, foram aplicados R$ 300.029,54 reais em obras de Pavimentação, executadas pela Empresa Andre Luiz Longuini - EPP e também foram aplicados em aquisição e instalação de Lâmpadas de Led no complexo turístico da feira do Município´ de Mamborê no total de R$ 141.000,00 reais, totalizando assim R$ 441.029,54 reais.",3405
16104,"EM_ELABORACAO","Realização de publicação do edital de licitação tipo Tomada de Preços n.º 205/2021 em 15/10/2021, com abertura em 03/11/2021, resultando o mesmo em DESERTO.
Realização de publicação de novo edital de licitação tipo tomada de Preços n.º 32/2022 em 17/03/2022, com abertura em 04/04/2022, onde concorreram 02 (duas) empresas, sagrando-se vencedora a construtora e Incorporadora Jaraguá Ltda.  
Valor Licitado - R$ 66.589,94
Aditivos - R$ 30.031,23
Supressões - R$ 8.400,15
Prazo de conclusão da obra - 06/08/2022 / Prazo de vigência do contrato - 05/10/2022
1.ª Prorrogação de obra - 60 dias, passando de 06/08/2022 para 04/10/2022 - Vigência alterada de 05/10/2022 para 03/12/2022


",3422
470,"DISPONIBILIZADO","Execução de obra de recapeamento asfáltico em perímetro urbano, a qual será executada na Av. das Perobas, Distrito de Valério no Município de Planalto/PR.",3394
156,"EM_ELABORACAO","Descrever de maneira sucinta as ações executadas. O Relatório de Gestão aqui registrado estará em conformidade com a execução , na totalidade ou em partes, com a transferência especial recebida.",3464
4135,"DISPONIBILIZADO","O recurso destinado a Secretaria de Esporte e lazer de São Paulo pela modalidade Transferência Especial foi utilizado para aquisição dos equipamentos de ginástica artística do Centro Olímpico de Treinamento e Pesquisa da cidade de São Paulo.",3367
545,"EM_ELABORACAO","Relatório",3397
1421,"DISPONIBILIZADO","O recurso no valor de R$ 440.000,00 (quatrocentos e quarenta mil reais) foi investido na construção de UBS – Unidade Básica de Saúde, localizada na Agrovila Nova Canaã do Leste, Projeto de Assentamento Safra, localizado a 60 km da cidade Nova Xavantina – MT. Coordenadas geográficas: 14°19'45.91""S  52°30'24.83""O . Na Agrovila Nova Canaã do Leste e região vivem aproximadamente 700 (setecentos) pessoas que poderão ser atendidas diariamente pelos profissionais do SUS, na nova UBS. A obra foi licitada através da Tomada de Preços nº 11/2020 e teve como vencedora a empresa Hercon Serviços Eirelli – CNPJ 14.020.137.0001-12.  O valor total da obra R$ 714.087,41 foi pago com recursos da emenda especial R$ 440.000,00 + R$ 912,74 de rendimento de aplicação financeira + R$ 273.174,67 de recursos do Município. A construção iniciou em 30 de setembro de 2020 e foi concluída em 23 de novembro de 2021, conforme termo de recebimento provisório, anexo.
",3450
15475,"DISPONIBILIZADO","O recurso destinado através de emenda parlamentar ao Município de Serranos através do plano de ação 0903-003473 / 2020 foi utilizado para construção poços artesianos nas zonas rurais.
Valor total contratado: R$ 180.957,77
Valor utilizado da transferência especial - Plano de trabalho 0903-003473 / 2020 - R$ 100.000,00;
Valor utilizado da transferência especial - Plano de trabalho 0903-003485 / 2020 - R$ 26.300,00;
Valor utilizado de recurso próprio - R$ 54.657,77",3473
504,"DISPONIBILIZADO","O recurso no valor de R$ 150.000,00 foi utilizado para a compra de um micro-ônibus escolar para ser usado pela Secretaria de Educação de Águas Mornas. A empresa ganhadora da Licitação nº 53/2020 foi a San Marino inscrito no CNPJ o nº 78.824.224/0001-05 e custou R$ 260.500,00 ( Duzentos e sessenta mil e quinhentos reais). Sendo R$ 150.000,00 ( cento e cinquenta mil reais recursos da emenda especial e R$ 110.500,00 de recurso próprio. A ordem de fornecimento foi dada no dia 18/09/2020 e a entrega aconteceu dentro do prazo e em seguida em uso pela secretaria de Educação municipal.",3432
357,"DISPONIBILIZADO","R$ 91.507,08 ( noventa e um mil quinhentos e sete mil e oito centavos) do recurso foi utilizado para custear  a compra de peças e pneus que foram utilizados na frota de maquinário da Secretaria Municipal de Obras.
R$ 8.459,20 (oito mil quatrocentos e cinquenta e nove reais e vinte centavos) foi utilizado para custear a compra refeições prontas (marmitex) para a alimentação dos servidores da Secretaria Municipal de Obras que atuam na área rural.
Houve a sobra de saldo remanescente no valor de R$ 33,72, o qual não tem campo para a devolução.",3426
259,"DISPONIBILIZADO","Aquisição de retroescavadeira nova, zero km, para atender as necessidades da Secretaria de Transportes, Obras e Serviços Urbanos do Município de Canelinha.",3472
265,"DISPONIBILIZADO","Com o recurso de emenda do Dep. Nilson Pinto. Foi realizada a Licitação - Tomada de Preço 2/2020-023, que teve como vencedora a Empresa SEMATEG CONSTRUÇÕES LTDA, e que através do contrato nº 20200780, que teve como objetivo a contração de empresa especializada em serviços de Engenharia para a Construção de Quadra Poliesportiva na Vila do Treme, no município de Bragança. Com prazo de execução de 365 dias , Tendo inicio das em 18/11/2020 com previsão de conclusão para o dia 17/11/2021. Conforme documentos em anexos da obra.",3447
